1200,20528,56,05.11.2022 23:11:28,0
200,20669,44,05.11.2022 23:11:28,0
800,20780,48,05.11.2022 23:11:28,0
1400,21032,60,05.11.2022 23:11:28,0
1600,22683,62,05.11.2022 23:11:28,0
400,23682,42,05.11.2022 23:11:28,0
1000,23749,58,05.11.2022 23:11:28,0
600,24460,44,05.11.2022 23:11:28,0
2000,15688,62,05.11.2022 23:11:37,0
1800,24875,64,05.11.2022 23:11:28,0

200,17703,46,05.11.2022 23:42:07,0
400,20251,47,05.11.2022 23:42:24,0
600,22917,53,05.11.2022 23:42:44,0
800,22220,62,05.11.2022 23:43:07,0
1000,20669,66,05.11.2022 23:43:30,0
1200,19417,69,05.11.2022 23:43:50,0
1400,18239,68,05.11.2022 23:44:10,0
1600,18159,79,05.11.2022 23:44:28,0
1800,18477,75,05.11.2022 23:44:46,0
2000,17627,86,05.11.2022 23:45:05,0
2200,17752,95,05.11.2022 23:45:22,0
2400,19426,101,05.11.2022 23:45:40,0
2600,19028,115,05.11.2022 23:45:59,0
2800,18185,105,05.11.2022 23:46:18,0
3000,17543,116,05.11.2022 23:46:37,0
3200,18895,114,05.11.2022 23:46:54,0
3400,17989,126,05.11.2022 23:47:13,0
3600,16670,130,05.11.2022 23:47:31,0
3800,18505,127,05.11.2022 23:47:48,0
4000,18132,126,05.11.2022 23:48:06,0
4200,17516,134,05.11.2022 23:48:24,0
4400,16138,122,05.11.2022 23:48:42,0
4600,17785,123,05.11.2022 23:48:58,0
4800,17141,130,05.11.2022 23:49:16,0
5000,18446,136,05.11.2022 23:49:33,0
5200,18203,156,05.11.2022 23:49:51,0
5400,16186,161,05.11.2022 23:50:10,0
5600,16227,174,05.11.2022 23:50:26,0
5800,17653,188,05.11.2022 23:50:42,0
6000,19070,172,05.11.2022 23:51:00,0
6200,16833,149,05.11.2022 23:51:19,0
6400,16664,162,05.11.2022 23:51:36,0
6600,17746,161,05.11.2022 23:51:52,0
6800,14495,202,05.11.2022 23:52:10,0
7000,14839,191,05.11.2022 23:52:24,0
7200,15499,211,05.11.2022 23:52:39,0
7400,16976,202,05.11.2022 23:52:55,0
7600,15636,183,05.11.2022 23:53:12,0
7800,15540,178,05.11.2022 23:53:27,0
8000,17145,189,05.11.2022 23:53:43,0
8200,17270,216,05.11.2022 23:54:00,0
8400,16318,210,05.11.2022 23:54:17,0
8600,16061,241,05.11.2022 23:54:34,0
8800,18016,224,05.11.2022 23:54:50,0
9000,17252,265,05.11.2022 23:55:08,0
9200,15827,269,05.11.2022 23:55:25,0
9400,16406,257,05.11.2022 23:55:41,0
9600,16597,255,05.11.2022 23:55:57,0
9800,17374,239,05.11.2022 23:56:14,0
10000,15771,236,05.11.2022 23:56:31,0
